X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
-18.62, 30.51, 3867.68,, 570.57, 469.34, 0.0106, 0.5948, 0.0107, 0.5892
-26.39, 27.48, 3895.93,, 540.41, 457.36, 0.0108, 0.5842, 0.0107, 0.5892
-26.64, 19.17, 3968.14,, 541.35, 425.50, 0.0109, 0.5877, 0.0109, 0.5892
-24.68, 10.19, 4035.16,, 550.54, 392.48, 0.0114, 0.5697, 0.0111, 0.5775
-24.05, 3.81, 4095.91,, 554.30, 369.60, 0.0107, 0.5938, 0.0109, 0.5892
-31.48, -1.74, 4109.10,, 526.74, 350.20, 0.0109, 0.5817, 0.0107, 0.5892
-33.51, 0.92, 4092.44,, 518.65, 359.49, 0.0110, 0.5904, 0.0113, 0.5775
-35.88, 6.50, 4041.35,, 508.02, 379.32, 0.0113, 0.5655, 0.0109, 0.5775
-39.90, 20.49, 3912.43,, 487.70, 431.34, 0.0109, 0.5662, 0.0109, 0.5659
-39.61, 28.27, 3861.86,, 486.80, 461.19, 0.0110, 0.5628, 0.0109, 0.5659
-37.54, 36.14, 3793.30,, 492.34, 492.82, 0.0113, 0.5647, 0.0109, 0.5775
-34.38, 43.41, 3744.44,, 503.36, 522.42, 0.0114, 0.5693, 0.0111, 0.5775
-27.07, 46.51, 3722.28,, 532.72, 535.36, 0.0130, 0.5368, 0.0125, 0.5542
-18.53, 47.94, 3736.03,, 568.33, 540.18, 0.0133, 0.5330, 0.0131, 0.5426
-7.01, 48.12, 3737.59,, 615.81, 540.80, 0.0150, 0.4839, 0.0143, 0.5076
4.98, 48.15, 3743.96,, 665.18, 540.57, 0.0137, 0.5530, 0.0073, 0.1582
20.86, 48.16, 3721.09,, 731.01, 541.76, 0.0164, 0.4762, 0.0159, 0.4960
31.08, 48.55, 3701.49,, 773.97, 544.27, 0.0180, 0.4539, 0.0175, 0.4727
37.44, 48.10, 3704.45,, 800.29, 542.37, 0.0203, 0.4037, 0.0191, 0.4494
42.59, 44.18, 3728.62,, 820.54, 526.09, 0.0172, 0.4581, 0.0165, 0.4843
46.53, 37.94, 3775.28,, 834.46, 500.31, 0.0129, 0.5427, 0.0125, 0.5542
47.44, 35.22, 3808.42,, 836.50, 488.82, 0.0124, 0.5515, 0.0117, 0.5775
47.82, 31.23, 3842.27,, 836.30, 472.75, 0.0120, 0.5619, 0.0119, 0.5659
48.60, 27.05, 3878.57,, 837.62, 456.24, 0.0119, 0.5723, 0.0117, 0.5775
50.06, 23.82, 3907.32,, 841.94, 443.63, 0.0118, 0.5675, 0.0115, 0.5775
52.09, 18.29, 3951.27,, 847.68, 422.62, 0.0119, 0.5579, 0.0117, 0.5659
53.06, 12.29, 3998.52,, 849.00, 400.34, 0.0121, 0.5456, 0.0119, 0.5542
53.41, 5.32, 4051.59,, 847.65, 375.08, 0.0133, 0.5158, 0.0123, 0.5542
53.51, 2.15, 4083.78,, 846.45, 363.81, 0.0121, 0.5513, 0.0119, 0.5542
53.74, -4.54, 4135.07,, 844.78, 340.53, 0.0118, 0.5616, 0.0119, 0.5542
53.68, -3.37, 4113.17,, 845.62, 344.54, 0.0123, 0.5480, 0.0121, 0.5542
57.67, 8.98, 3965.72,, 868.61, 388.74, 0.0120, 0.5470, 0.0117, 0.5542
45.40, 41.91, 3753.84,, 830.90, 516.28, 0.0131, 0.5526, 0.0127, 0.5659
45.50, 41.94, 3759.25,, 831.05, 516.15, 0.0131, 0.5482, 0.0129, 0.5542
45.28, 41.88, 3751.79,, 830.53, 516.25, 0.0129, 0.5593, 0.0127, 0.5659
45.24, 41.92, 3748.96,, 830.50, 516.53, 0.0131, 0.5544, 0.0127, 0.5659
45.39, 41.84, 3758.42,, 830.62, 515.83, 0.0134, 0.5391, 0.0129, 0.5542
37.28, 40.54, 3793.44,, 796.01, 509.45, 0.0130, 0.5518, 0.0125, 0.5659
30.06, 40.96, 3781.91,, 767.07, 511.51, 0.0125, 0.5789, 0.0121, 0.5892
30.43, 41.36, 3783.08,, 768.56, 512.96, 0.0126, 0.5780, 0.0123, 0.5892
30.89, 41.77, 3781.99,, 770.45, 514.56, 0.0125, 0.5710, 0.0123, 0.5775
31.02, 41.69, 3779.35,, 771.08, 514.37, 0.0126, 0.5742, 0.0125, 0.5775
32.37, 41.89, 3758.16,, 777.30, 516.02, 0.0125, 0.5689, 0.0123, 0.5775
